id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,25,SAMBAR RICE,80,Y,SAMBAR RICE.jpg,,,
,7,CURD RICE,90,G,CURD RICE.jpg,,,
,25,PULAV RAITH ..,70,Y,PULAV RAITH ...jpg,,,
,30,HAKK NUDAL,95,#N/A,HAKK NUDAL.jpg,,,
,25,"JEERA RICE,,",60,Y,"JEERA RICE,,.jpg",,,
,25,"PLAIN RICE,,",50,Y,"PLAIN RICE,,.jpg",,,
,25,DAL RICE,90,Y,DAL RICE.jpg,,,
,25,atta 60,60,Y,atta 60.jpg,,,
,25,atta 30,30,Y,atta 30.jpg,,,
,18,CHEEZ OPAN MASALA,120,R,CHEEZ OPAN MASALA.jpg,,,
,18,CHEEZ MYSUR SADA,110,R,CHEEZ MYSUR SADA.jpg,,,
,7,CHEEZ PULAV,140,G,CHEEZ PULAV.jpg,,,
,16,PLAIN DAL VADA,40,P,PLAIN DAL VADA.jpg,,,
,16,PLAIN M V,40,P,PLAIN M V.jpg,,,
,16,PLAIN A V,40,P,PLAIN A V.jpg,,,
,7,PANNIR BIRYANI,110,G,PANNIR BIRYANI.jpg,,,
,25,RASAM RICE,50,Y,RASAM RICE.jpg,,,
,17,SOUTH INDIAN PLATER,110,Q,SOUTH INDIAN PLATER.jpg,,,
,30,DAL FRI BTTUR,100,#N/A,DAL FRI BTTUR.jpg,,,
,26,HALF MUTER PANNIR,70,Z,HALF MUTER PANNIR.jpg,,,
,26,HALF VEG KOLA PURI,60,Z,HALF VEG KOLA PURI.jpg,,,
,26,HALF KAJU KARI,80,Z,HALF KAJU KARI.jpg,,,
,26,HALF MANCHRYAN DRY,50,Z,HALF MANCHRYAN DRY.jpg,,,
,30,MANCHURYAN DRY,95,#N/A,MANCHURYAN DRY.jpg,,,
,23,SP CHEESE PAV BAJI,110,W,SP CHEESE PAV BAJI.jpg,,,
,26,HALF VEG BIRYANI,60,Z,HALF VEG BIRYANI.jpg,,,
,26,HALF HAKK NUDALS,50,Z,HALF HAKK NUDALS.jpg,,,
,26,HALF CHANA MASALA,50,Z,HALF CHANA MASALA.jpg,,,
,30,MASHURUM KADAI,150,#N/A,MASHURUM KADAI.jpg,,,
,26,HALF VEG FRIED RICE,70,Z,HALF VEG FRIED RICE.jpg,,,
,26,HALF MANCHURYAN NUDAL,70,Z,HALF MANCHURYAN NUDAL.jpg,,,
,26,HALF JEERA RICE,40,Z,HALF JEERA RICE.jpg,,,
,30,PANNIR KADAI,150,#N/A,PANNIR KADAI.jpg,,,
,30,SHAI PANNIR,140,#N/A,SHAI PANNIR.jpg,,,
,29,IDLY SAMBAR,50,#N/A,IDLY SAMBAR.jpg,,,
,12,KAJU DRKSH C,25,L,KAJU DRKSH C.jpg,,,
,12,ALMUND CARNIWAL C,40,L,ALMUND CARNIWAL C.jpg,,,
,26,HALF DAL FRY,40,Z,HALF DAL FRY.jpg,,,
,26,HALF PLAIN RICE,30,Z,HALF PLAIN RICE.jpg,,,
,30,PANNIR BT MASALA,130,#N/A,PANNIR BT MASALA.jpg,,,
,23,CHEEZ PAV BAJI,100,W,CHEEZ PAV BAJI.jpg,,,
,20,S/ITALIYAN PIZA,150,T,S/ITALIYAN PIZA.jpg,,,
,16,PURI BAJI,100,P,PURI BAJI.jpg,,,
,26,HALF PANNIR CHILLY DRY,70,Z,HALF PANNIR CHILLY DRY.jpg,,,
,26,HALF VEG PULAV,50,Z,HALF VEG PULAV.jpg,,,
,13,GULAB JAMUN 1Kg,280,M,GULAB JAMUN 1Kg.jpg,,,
,26,HALF PLAIN PALAK,50,Z,HALF PLAIN PALAK.jpg,,,
,23,SP PAV BAJI,90,W,SP PAV BAJI.jpg,,,
,30,ITALIYAN PIZA,150,#N/A,ITALIYAN PIZA.jpg,,,
,13,GULAB JAMUN,40,M,GULAB JAMUN.jpg,,,
,30,PLIN PALAK,90,#N/A,PLIN PALAK.jpg,,,
,1,MINI THALI PARCEL,85,A,MINI THALI PARCEL.jpg,,,
,30,MASHRUM FRID RICE,140,#N/A,MASHRUM FRID RICE.jpg,,,
,18,MYSUR MASAL CUTTING,110,R,MYSUR MASAL CUTTING.jpg,,,
,26,HALF PANNIRTIKKA MASALA,70,Z,HALF PANNIRTIKKA MASALA.jpg,,,
,26,HALF PAN BTUR MASALA,70,Z,HALF PAN BTUR MASALA.jpg,,,
,26,HALE  SHAI PANNIR,80,Z,HALE  SHAI PANNIR.jpg,,,
,26,HALF MIX VEG,50,Z,HALF MIX VEG.jpg,,,
,26,HALF PALAK PANNIR,70,Z,HALF PALAK PANNIR.jpg,,,
,12,BUTTER SCOCH  C,25,L,BUTTER SCOCH  C.jpg,,,
,12,PINA LEMAN SUNDAY,30,L,PINA LEMAN SUNDAY.jpg,,,
,12,AMERICON NUT C,35,L,AMERICON NUT C.jpg,,,
,12,CHOKO  SUNDAY  C,30,L,CHOKO  SUNDAY  C.jpg,,,
,12,RAJ BOG  C,35,L,RAJ BOG  C.jpg,,,
,12,LONA VALA  C,40,L,LONA VALA  C.jpg,,,
,21,MANGO JUICE,40,U,MANGO JUICE.jpg,,,
,30,VEG FRID RICE,120,#N/A,VEG FRID RICE.jpg,,,
,17,ONIYAN MASALA DOSA,95,Q,ONIYAN MASALA DOSA.jpg,,,
,31,BUTER SADA,90,#N/A,BUTER SADA.jpg,,,
,17,SOUTH INDIAN PARSEL,1,Q,SOUTH INDIAN PARSEL.jpg,,,
,27,DAL VAD..,50,#N/A,DAL VAD...jpg,,,
,29,DAL VADA,50,#N/A,DAL VADA.jpg,,,
,21,MINARAL WATAR,20,U,MINARAL WATAR.jpg,,,
,17,CUTTING MASALA,70,Q,CUTTING MASALA.jpg,,,
,18,PARADI MASALA,90,R,PARADI MASALA.jpg,,,
,30,SIMLA MUTAR,100,#N/A,SIMLA MUTAR.jpg,,,
,30,SUKKA JERA ALU BAJI,100,#N/A,SUKKA JERA ALU BAJI.jpg,,,
,1,PLAIN PALAK,90,A,PLAIN PALAK.jpg,,,
,1,DUM ALU KASHMIRI,90,A,DUM ALU KASHMIRI.jpg,,,
,31,PALAK DOSA,99,#N/A,PALAK DOSA.jpg,,,
,27,MIX UTTHAP,70,#N/A,MIX UTTHAP.jpg,,,
,30,MANCHAV SUOP,70,#N/A,MANCHAV SUOP.jpg,,,
